,date,symbol,symbol_name,action,price,shares,commission,return
0,2018-02-01,518880,黄金ETF,buy,2.729,3600.0,2.9473199999999995,
1,2018-02-01,513100,纳指ETF,buy,0.461,17400.0,2.40642,
2,2018-02-01,513500,标普500ETF,buy,0.835,7700.0,1.9288499999999997,
3,2018-02-01,510880,红利ETF,buy,2.342,2100.0,1.4754599999999998,
4,2018-03-01,518880,黄金ETF,sell,2.689,,2.90412,-0.014657383657017235
5,2018-03-01,513100,纳指ETF,sell,0.458,,2.39076,-0.006507592190889377
6,2018-03-01,513500,标普500ETF,sell,0.801,,1.8503100000000001,-0.0407185628742514
7,2018-03-01,510880,红利ETF,sell,2.17,,1.3671,-0.07344150298889844
8,2018-03-01,518880,黄金ETF,buy,2.689,3600.0,2.90412,
9,2018-03-01,513100,纳指ETF,buy,0.458,17200.0,2.36328,
10,2018-03-01,513500,标普500ETF,buy,0.801,7800.0,1.87434,
11,2018-03-01,510880,红利ETF,buy,2.17,2300.0,1.4972999999999999,
12,2018-04-02,518880,黄金ETF,sell,2.696,,2.91168,0.002603198214949839
13,2018-04-02,513100,纳指ETF,sell,0.435,,2.2445999999999997,-0.05021834061135375
14,2018-04-02,513500,标普500ETF,sell,0.769,,1.7994599999999998,-0.03995006242197257
15,2018-04-02,510880,红利ETF,sell,2.025,,1.3972499999999999,-0.06682027649769587
16,2018-04-02,518880,黄金ETF,buy,2.696,3500.0,2.8307999999999995,
17,2018-04-02,513100,纳指ETF,buy,0.435,17800.0,2.3228999999999997,
18,2018-04-02,513500,标普500ETF,buy,0.769,8000.0,1.8456,
19,2018-04-02,510880,红利ETF,buy,2.025,2400.0,1.458,
20,2018-05-02,518880,黄金ETF,sell,2.684,,2.8181999999999996,-0.004451038575667659
21,2018-05-02,513100,纳指ETF,sell,0.446,,2.38164,0.025287356321839104
22,2018-05-02,513500,标普500ETF,sell,0.783,,1.8791999999999998,0.018205461638491564
23,2018-05-02,510880,红利ETF,sell,1.938,,1.39536,-0.042962962962962946
24,2018-05-02,518880,黄金ETF,buy,2.684,3500.0,2.8181999999999996,
25,2018-05-02,513100,纳指ETF,buy,0.446,17400.0,2.3281199999999997,
26,2018-05-02,513500,标普500ETF,buy,0.783,7900.0,1.8557099999999997,
27,2018-05-02,510880,红利ETF,buy,1.938,2500.0,1.4534999999999998,
28,2018-06-01,518880,黄金ETF,sell,2.68,,2.8139999999999996,-0.001490312965722803
29,2018-06-01,513100,纳指ETF,sell,0.468,,2.44296,0.04932735426008973
30,2018-06-01,513500,标普500ETF,sell,0.804,,1.9054799999999998,0.02681992337164753
31,2018-06-01,510880,红利ETF,sell,1.984,,1.4879999999999998,0.023735810113519114
32,2018-06-01,518880,黄金ETF,buy,2.68,3600.0,2.8943999999999996,
33,2018-06-01,513100,纳指ETF,buy,0.468,16700.0,2.34468,
34,2018-06-01,513500,标普500ETF,buy,0.804,7800.0,1.8813600000000001,
35,2018-06-01,510880,红利ETF,buy,1.984,2500.0,1.4879999999999998,
36,2018-07-02,518880,黄金ETF,sell,2.667,,2.8803599999999996,-0.0048507462686568446
37,2018-07-02,513100,纳指ETF,sell,0.487,,2.4398699999999995,0.040598290598290517
38,2018-07-02,513500,标普500ETF,sell,0.83,,1.9422,0.03233830845771133
39,2018-07-02,510880,红利ETF,sell,1.735,,1.3012499999999998,-0.12550403225806447
40,2018-07-02,518880,黄金ETF,buy,2.667,3600.0,2.8803599999999996,
41,2018-07-02,513100,纳指ETF,buy,0.487,16000.0,2.3375999999999997,
42,2018-07-02,513500,标普500ETF,buy,0.83,7500.0,1.8675,
43,2018-07-02,510880,红利ETF,buy,1.735,2800.0,1.4573999999999998,
44,2018-08-01,518880,黄金ETF,sell,2.672,,2.88576,0.00187476565429334
45,2018-08-01,513100,纳指ETF,sell,0.523,,2.5103999999999997,0.0739219712525668
46,2018-08-01,513500,标普500ETF,sell,0.89,,2.0025,0.07228915662650609
47,2018-08-01,510880,红利ETF,sell,1.856,,1.55904,0.06974063400576368
48,2018-08-01,518880,黄金ETF,buy,2.672,3700.0,2.96592,
49,2018-08-01,513100,纳指ETF,buy,0.523,15300.0,2.40057,
50,2018-08-01,513500,标普500ETF,buy,0.89,7200.0,1.9223999999999999,
51,2018-08-01,510880,红利ETF,buy,1.856,2700.0,1.5033599999999998,
52,2018-09-03,518880,黄金ETF,sell,2.635,,2.9248499999999997,-0.013847305389221694
53,2018-09-03,513100,纳指ETF,sell,0.548,,2.51532,0.0478011472275335
54,2018-09-03,513500,标普500ETF,sell,0.918,,1.98288,0.0314606741573034
55,2018-09-03,510880,红利ETF,sell,1.792,,1.4515200000000001,-0.03448275862068968
56,2018-09-03,518880,黄金ETF,buy,2.635,3800.0,3.0039,
57,2018-09-03,513100,纳指ETF,buy,0.548,14700.0,2.41668,
58,2018-09-03,513500,标普500ETF,buy,0.918,7000.0,1.9277999999999997,
59,2018-09-03,510880,红利ETF,buy,1.792,2800.0,1.50528,
60,2018-10-08,518880,黄金ETF,sell,2.656,,3.02784,0.007969639468690837
61,2018-10-08,513100,纳指ETF,sell,0.535,,2.35935,-0.023722627737226297
62,2018-10-08,513500,标普500ETF,sell,0.921,,1.9341,0.003267973856209153
63,2018-10-08,510880,红利ETF,sell,1.827,,1.5346799999999996,0.019531249999999955
64,2018-10-08,518880,黄金ETF,buy,2.656,3700.0,2.94816,
65,2018-10-08,513100,纳指ETF,buy,0.535,15100.0,2.42355,
66,2018-10-08,513500,标普500ETF,buy,0.921,7000.0,1.9341,
67,2018-10-08,510880,红利ETF,buy,1.827,2800.0,1.5346799999999996,
68,2018-11-01,518880,黄金ETF,sell,2.73,,3.0302999999999995,0.02786144578313247
69,2018-11-01,513100,纳指ETF,sell,0.503,,2.27859,-0.059813084112149584
70,2018-11-01,513500,标普500ETF,sell,0.873,,1.8333,-0.05211726384364825
71,2018-11-01,510880,红利ETF,sell,1.733,,1.4557200000000001,-0.05145046524356862
72,2018-11-01,518880,黄金ETF,buy,2.73,3600.0,2.9484,
73,2018-11-01,513100,纳指ETF,buy,0.503,15700.0,2.3691299999999997,
74,2018-11-01,513500,标普500ETF,buy,0.873,7200.0,1.88568,
75,2018-11-01,510880,红利ETF,buy,1.733,2900.0,1.50771,
76,2018-12-03,518880,黄金ETF,sell,2.72,,2.9375999999999998,-0.003663003663003585
77,2018-12-03,513100,纳指ETF,sell,0.512,,2.41152,0.017892644135188884
78,2018-12-03,513500,标普500ETF,sell,0.9,,1.9439999999999997,0.03092783505154642
79,2018-12-03,510880,红利ETF,sell,1.763,,1.53381,0.01731102135025955
80,2018-12-03,511270,10年地方债ETF,buy,81.865,100.0,2.4559499999999996,
81,2018-12-03,518880,黄金ETF,buy,2.72,3000.0,2.448,
82,2018-12-03,513100,纳指ETF,buy,0.512,13000.0,1.9968,
83,2018-12-03,513500,标普500ETF,buy,0.9,5900.0,1.5929999999999997,
84,2018-12-03,510880,红利ETF,buy,1.763,2400.0,1.2693599999999998,
85,2019-01-02,511270,10年地方债ETF,sell,83.171,,2.49513,0.015953093507604123
86,2019-01-02,518880,黄金ETF,sell,2.837,,2.5532999999999997,0.043014705882352934
87,2019-01-02,513100,纳指ETF,sell,0.447,,1.7432999999999998,-0.126953125
88,2019-01-02,513500,标普500ETF,sell,0.787,,1.39299,-0.12555555555555553
89,2019-01-02,510880,红利ETF,sell,1.659,,1.1944799999999998,-0.05899035734543385
90,2019-01-02,511270,10年地方债ETF,buy,83.171,100.0,2.49513,
91,2019-01-02,518880,黄金ETF,buy,2.837,2800.0,2.38308,
92,2019-01-02,513100,纳指ETF,buy,0.447,14400.0,1.9310399999999999,
93,2019-01-02,513500,标普500ETF,buy,0.787,6500.0,1.5346499999999998,
94,2019-01-02,510880,红利ETF,buy,1.659,2400.0,1.1944799999999998,
95,2019-02-01,511270,10年地方债ETF,sell,84.212,,2.52636,0.012516381911964468
96,2019-02-01,518880,黄金ETF,sell,2.852,,2.3956799999999996,0.005287275290800028
97,2019-02-01,513100,纳指ETF,sell,0.485,,2.0951999999999997,0.08501118568232657
98,2019-02-01,513500,标普500ETF,sell,0.846,,1.6497,0.07496823379923753
99,2019-02-01,510880,红利ETF,sell,1.825,,1.3139999999999998,0.1000602772754671
100,2019-02-01,511270,10年地方债ETF,buy,84.212,100.0,2.52636,
101,2019-02-01,518880,黄金ETF,buy,2.852,2900.0,2.4812399999999997,
102,2019-02-01,513100,纳指ETF,buy,0.485,13700.0,1.9933499999999997,
103,2019-02-01,513500,标普500ETF,buy,0.846,6300.0,1.5989399999999998,
104,2019-02-01,510880,红利ETF,buy,1.825,2300.0,1.25925,
105,2019-03-01,511270,10年地方债ETF,sell,83.36,,2.5008,-0.010117322946848476
106,2019-03-01,518880,黄金ETF,sell,2.826,,2.45862,-0.00911640953716683
107,2019-03-01,513100,纳指ETF,sell,0.497,,2.0426699999999998,0.024742268041237137
108,2019-03-01,513500,标普500ETF,sell,0.872,,1.64808,0.03073286052009459
109,2019-03-01,510880,红利ETF,sell,2.053,,1.4165699999999997,0.12493150684931506
110,2019-03-01,511270,10年地方债ETF,buy,83.36,100.0,2.5008,
111,2019-03-01,518880,黄金ETF,buy,2.826,2900.0,2.45862,
112,2019-03-01,513100,纳指ETF,buy,0.497,13700.0,2.0426699999999998,
113,2019-03-01,513500,标普500ETF,buy,0.872,6200.0,1.6219199999999998,
114,2019-03-01,510880,红利ETF,buy,2.053,2100.0,1.29339,
115,2019-04-01,511270,10年地方债ETF,sell,82.589,,2.47767,-0.009249040307101736
116,2019-04-01,518880,黄金ETF,sell,2.788,,2.42556,-0.013446567586695065
117,2019-04-01,513100,纳指ETF,sell,0.521,,2.14131,0.04828973843058355
118,2019-04-01,513500,标普500ETF,sell,0.889,,1.65354,0.019495412844036716
119,2019-04-01,510880,红利ETF,sell,2.214,,1.3948199999999997,0.07842182172430591
120,2019-04-01,511270,10年地方债ETF,buy,82.589,100.0,2.47767,
121,2019-04-01,518880,黄金ETF,buy,2.788,3000.0,2.5092,
122,2019-04-01,513100,纳指ETF,buy,0.521,13200.0,2.06316,
123,2019-04-01,513500,标普500ETF,buy,0.889,6200.0,1.65354,
124,2019-04-01,510880,红利ETF,buy,2.214,2000.0,1.3283999999999998,
125,2019-05-06,511270,10年地方债ETF,sell,81.261,,2.4378299999999995,-0.01607962319437217
126,2019-05-06,518880,黄金ETF,sell,2.793,,2.5136999999999996,0.0017934002869441671
127,2019-05-06,513100,纳指ETF,sell,0.545,,2.1582,0.04606525911708257
128,2019-05-06,513500,标普500ETF,sell,0.915,,1.7018999999999997,0.029246344206974154
129,2019-05-06,510880,红利ETF,sell,1.959,,1.1754,-0.11517615176151758
130,2019-05-06,511270,10年地方债ETF,buy,81.261,100.0,2.4378299999999995,
131,2019-05-06,518880,黄金ETF,buy,2.793,3000.0,2.5136999999999996,
132,2019-05-06,513100,纳指ETF,buy,0.545,12600.0,2.0601000000000003,
