,date,symbol,symbol_name,action,price,shares,commission,return
0,2018-01-02,513100,纳指ETF,buy,0.444,225200.0,29.99664,
1,2018-01-05,513100,纳指ETF,sell,0.45,,30.401999999999997,0.013513513513513525
2,2018-01-05,510300,沪深300ETF,buy,3.652,27700.0,30.34812,
3,2018-01-09,510300,沪深300ETF,sell,3.703,,30.771929999999994,0.013964950711938585
4,2018-01-09,518880,黄金ETF,buy,2.736,37500.0,30.78,
5,2018-01-11,518880,黄金ETF,sell,2.734,,30.757499999999997,-0.0007309941520468653
6,2018-01-11,510300,沪深300ETF,buy,3.715,27500.0,30.648749999999996,
7,2018-02-13,510300,沪深300ETF,sell,3.44,,28.38,-0.07402422611036337
8,2018-02-13,518880,黄金ETF,buy,2.708,35000.0,28.433999999999997,
9,2018-02-28,518880,黄金ETF,sell,2.692,,28.266,-0.005908419497784347
10,2018-02-28,513100,纳指ETF,buy,0.457,206200.0,28.27002,
11,2018-03-06,513100,纳指ETF,sell,0.46,,28.455599999999997,0.006564551422319481
12,2018-03-06,159915,创业板ETF,buy,1.693,56000.0,28.4424,
13,2018-04-13,159915,创业板ETF,sell,1.721,,28.912799999999997,0.016538688718251638
14,2018-04-13,518880,黄金ETF,buy,2.714,35400.0,28.82268,
15,2018-05-02,518880,黄金ETF,sell,2.684,,28.50408,-0.011053795136330069
16,2018-05-02,513100,纳指ETF,buy,0.446,213400.0,28.55292,
17,2018-09-19,513100,纳指ETF,sell,0.539,,34.50678,0.20852017937219736
18,2018-09-19,518880,黄金ETF,buy,2.648,43400.0,34.47696,
19,2018-11-13,518880,黄金ETF,sell,2.689,,35.01078,0.015483383685800576
20,2018-11-13,159915,创业板ETF,buy,1.326,88000.0,35.0064,
21,2018-12-07,159915,创业板ETF,sell,1.275,,33.65999999999999,-0.038461538461538575
22,2018-12-07,518880,黄金ETF,buy,2.738,40900.0,33.595259999999996,
23,2019-01-23,518880,黄金ETF,sell,2.802,,34.380539999999996,0.0233747260774288
24,2019-01-23,513100,纳指ETF,buy,0.471,243500.0,34.406549999999996,
25,2019-01-31,513100,纳指ETF,sell,0.479,,34.99095,0.0169851380042463
26,2019-01-31,510300,沪深300ETF,buy,2.772,42000.0,34.92719999999999,
27,2019-02-27,510300,沪深300ETF,sell,3.24,,40.824,0.168831168831169
